id,type,answer_count,question_body,title,uri
4605698,question,2,"I have a suspicious area beside my scar that I had to have a biopsy done today. I just had mohs,surgery in December for the second time in the same area of my face.",Can my basal cell resurface 90 days after mohs surgery?,/question/harrisburg-pa-basal-cell-resurface-90-days-after-mohs-surgery
7198039,question,1,"I had Mohs surgery on my nose June 11. I had stitches out on June 18. Yesterday a blood blister formed at the bottom of the scar. It looked better this morning, but then this afternoon, when I got hot it got larger. I have been using silicone sheeting stripes during the day, due to sun exposure. Is this a normal part of the process or an urgent issue?",I had Mohs surgery. Is this a normal part of the process? (Photo),/question/cape-coral-fl-normal
7449985,question,2,"I just had Mohs Surgery 2 days ago. Later today, Ill be removing the bandage that was put on my cheek after the wound closure. I was told to wash the area with soap and water and then put some Vaseline on the stitches. Also, I was told that the stitches are going to devolve themselves. I was wondering if I have to cover the wound again after cleaning it up and putting Vaseline on? Also why the surgeon used stitches that dissolve themselves instead of regular ones?",Cleaning wound 48 hours after Mohs Surgery? Dissolvable stitches?,/question/flagstaff-az-cleaning-wound-after-48-hours-after-mohs-surgery-dissolvable
359578,question,5,"
	I was curious to whether or not a RN could perform MOHS surgery if the physician was on site?
",Can a RN Perform MOHS Surgery?,/question/rn-perform-mohs-surgery
11860496,question,2,"Hello, I had mohs surgery on my lower eyelid where a bit of the margin had to be removed. Reconstruction was done by an oculoplastic surgeon. After the reconstruction part of the eyelid margin is flipped out and downward and a small part of the inside of my eyelid is exposed. The inner corner of that eye also appears stretched. The eyelid margin also appears bumpy and poorly defined, however this is only visible in certain lighting conditions. Is it possible to correct these issues?",Is it possible to repair bumpy/pulled down lower eyelid margin after mohs reconstruction? (Photo),/question/orlando-florida-repair-bumpy-pulled-eyelid-margin-after-mohs-reconstruction
8136478,question,,"I can understand you are nervous about the surgery and the aesthetic and functional result. But the cancer has to be removed and Mohs surgery has the highest cure rate with the smallest defect. In terms of reconstruction, ask your surgeon to show you some before and afters of something similar. Typically Mohs surgeons know which reconstructive surgeons are good at what kinds of reconstruction and yes usually oculoplastic surgeons that do a fair amount of Mohs recon will be good at rebuilding that area. ","Garrett Griffin, MD answers: Concerns with Mohs surgery on the side of nose near the tear duct. What options are available?",/question/nyack-ny-concerns-mohs-surgery-side-nose-tear-duct
13066667,question,0,"Im very worried as I have a BCC right by my tear duct. What can I expect during MOHS surgery &amp; how long should it take to heal? Im also going to be in a sunny climate for 4 months after the surgery. Also, I teach a class outside during lunch time hours, should I cancelthis as its directly in the sun with very minimal shade?",BCC by tear duct. What can I expect during Mohs surgery? How long should it take to heal? (Photo),/question/england-united-kingdom-bcc-tear-duct
138665,question,,"As most of the above answers state, Mohs micrographic surgery for skin cancer means by DEFINITION, the Mohs surgeon is also the pathologist reading slides for THAT particular skin cancer surgery case. The reason for this is that the surgeon knows best the orientation and location of the tissue, and the quality of the surrounding skin on the patient, for the best &quot;clinicopathologic&quot; correlation of what is under the microscope, to what is going on with the patient.A properly, officially fellowship-trained Mohs surgeon is equally, and likely MORE, qualified to read the tissue because we have training in the reading of frozen sections that are oriented horizontally in the Mohs fashion, rather than the &quot;bread-loafing&quot; slices traditionally done with permanent section pathology reading. This gives a more complete 100% view of the tissue borders, rather than sample sections.A surgeon who says that a separate pathologist is on site reading slides... is NOT performing legal Mohs surgery. The surgeon may perform the removal, and have a pathologist read the slides, but may NOT bill the removal as a &quot;Mohs layer&quot;. The Mohs reimbursement codes already include a fee for removal, preparation, and pathology reading by the surgeon herself.For a listing of official fellowship-trained Mohs surgeons in your area, go to www.MohsCollege.org.","Jessica Krant, MD, MPH answers: Should the surgeon also be the pathologist for MOHS surgery?",/question/mohs-surgery-surgeon-pathologist
3907130,question,1,"It's been a three days since Mohs surgery on my left side of the nose. They did not do a skin graph, but closed the would with sutures, I'd say it's about an inch long. I've had a persistent headache, and headache remedies just take the edge off. It's not extreme, but just there, nagging. For the first two days, I had taken Extra Strength Tylenol, and switched to Ibuprofen today, yet the dull ache is still present. Is this normal?",Persistent headache after Mohs surgery on nose.,/question/wakefield-ma-persistent-headache-after-mohs-surgery-nose
404673,question,,"
	Mohs Surgery is the best treatment for this skin cancer hands down. &nbsp;As an board certified Dermatologist and American College of Mohs Surery fellowship trained, Mohs Skin Cancer Surgeon, I think that a fellowship trained Mohs Skin Cancer Surgeon is the most experienced and trained physician to perform Mohs Skin Cancer Sugery.

	A Mohs Surgery fellowship is an additional 1-2 year training progarm after a Dermatologist completes his or her general Dermatology training and qualifies him or her as an expert in skin cancer recognition and treatment , including the Mohs skin cancer technique above and beyond that of any other medical professionals.
","Robert Strimling, MD answers: Mohs Surgery for Skin Cancer",/question/mohs-surgery-skin-cancer
